year,so2,no2,rspm,spm
1987,22.282033898305084,31.94577922077922,128.45940594059405,285.46534653465346
1988,23.056147540983606,30.908997955010225,113.33268907563024,251.85042016806722
1989,19.000919842312747,29.270012706480305,107.40527638190956,238.678391959799
1990,18.02274074074074,26.48823529411765,109.6074642857143,243.57214285714286
1991,18.345035183737295,26.692513368983956,113.54253840526701,252.31675201170447
1992,16.780470914127424,28.15979513444302,96.04394673123487,213.43099273607749
1993,26.176712328767124,25.046575342465754,115.0888888888889,255.7530864197531
1994,25.573651452282157,34.8824016563147,115.15424481737413,255.89832181638698
1995,28.033248299319727,33.9514979757085,115.0897233201581,255.75494071146244
1996,20.93795518207283,25.307665260196906,116.80843373493975,259.574297188755
1997,21.70309837335399,27.84864468864469,97.2558533145275,216.12411847672777
1998,20.260046367851622,26.97498165810712,110.19548387096775,244.87885304659497
1999,21.314956245027844,29.5254433307633,108.57970007315289,241.2882223847842
2000,17.087249814677538,28.62821083890126,98.43951902368988,218.75448671931085
2001,15.964744110479284,30.95004095004095,109.07044926413634,242.37877614252517
2002,13.73188612099644,28.559346126510306,85.13396226415094,189.18658280922432
2003,7.182117647058823,23.517160319699105,117.74391862955032,265.7762074708541
2004,11.546322576148324,28.047141350906095,112.49016072763519,198.76054122712296
2005,12.953143412107478,28.78927225624117,111.97063470808784,245.88171755043743
2006,11.356781657551537,26.68269369198712,111.59317697606703,238.0357376764592
2007,11.657512398758339,26.489427133793793,106.01509287925697,228.7225695271361
2008,11.271448122803772,27.69158393501805,112.81870214810452,240.9592318210154
2009,10.731553237290942,25.993202159655034,114.25317535879262,244.63571039568077
2010,10.052588875518286,26.84617524495862,110.50123320792748,236.40273230315867
2011,11.207287304204726,28.08409030101815,115.29889789548662,251.3222810970388
2012,10.913241604614887,24.79237541820743,110.01037823968635,244.46750719930296
2013,9.237166895798019,22.164750122000207,107.48022781775242,230.33224367050659
2014,9.140225543708873,24.436940393755904,103.31203212523118,229.58229361162483
2015,8.380044273895773,23.55423678696566,100.92757293898961,224.28349541997687
